player_id,player_name,recent_team,season,week,position,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fantasy_points_ppr
00-0037816,R.Doubs,GB,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,3,3,36.0,0,6.6
00-0037837,C.Austin,PIT,2023,9,WR,0,0,0.0,0,0.0,2,10.0,0,1,0,0.0,0,1.0
00-0037838,I.Likely,BAL,2023,9,TE,0,0,0.0,0,0.0,0,0.0,0,4,4,42.0,0,8.2
00-0038040,Z.White,LV,2023,9,RB,0,0,0.0,0,0.0,4,-2.0,0,0,0,0.0,0,-0.2
00-0038041,J.Ferguson,DAL,2023,9,TE,0,0,0.0,0,0.0,0,0.0,0,10,7,91.0,1,22.1
00-0038090,S.Moore,KC,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,3,2,33.0,0,5.3
00-0038098,P.Strong,CLE,2023,9,RB,0,0,0.0,0,0.0,3,9.0,0,1,1,-7.0,0,1.2
00-0038102,K.Pickett,PIT,2023,9,QB,19,30,160.0,1,0.0,1,-1.0,0,0,0,0.0,0,10.3
00-0038104,T.Thornton,NE,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,4,1,7.0,0,1.7
00-0038115,D.Bellinger,NYG,2023,9,TE,0,0,0.0,0,0.0,0,0.0,0,3,3,43.0,0,7.3
00-0038117,W.Robinson,NYG,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,5,4,35.0,1,13.5
00-0038120,B.Hall,NYJ,2023,9,RB,0,0,0.0,0,0.0,16,50.0,0,4,4,10.0,0,10.0
00-0038124,C.Watson,GB,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,2,1,37.0,0,4.7
00-0038129,C.Otton,TB,2023,9,TE,0,0,0.0,0,0.0,0,0.0,0,9,6,70.0,2,23.0
00-0038134,K.Walker,SEA,2023,9,RB,0,0,0.0,0,0.0,9,16.0,0,2,1,1.0,0,2.7
00-0038393,D.Wicks,GB,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,4,4,49.0,0,6.9
00-0038416,T.Bagent,CHI,2023,9,QB,18,30,220.0,2,3.0,8,70.0,0,0,0,0.0,0,15.8
00-0038454,K.Mitchell,BAL,2023,9,RB,0,0,0.0,0,0.0,9,138.0,1,1,1,-4.0,0,20.4
00-0038465,M.Heath,GB,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,1,0,0.0,0,0.0
00-0038476,T.DeVito,NYG,2023,9,QB,15,20,175.0,1,2.0,4,17.0,0,0,0,0.0,0,8.7
00-0038496,X.Gipson,NYJ,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,2,2,32.0,0,5.2
00-0038542,B.Robinson,ATL,2023,9,RB,0,0,0.0,0,0.0,11,51.0,0,4,2,8.0,0,5.9
00-0038543,J.Smith-Njigba,SEA,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,7,6,63.0,0,12.3
00-0038544,Q.Johnston,LAC,2023,9,WR,0,0,0.0,0,0.0,1,2.0,0,3,2,14.0,0,3.6
00-0038547,L.Schoonmaker,DAL,2023,9,TE,0,0,0.0,0,0.0,0,0.0,0,1,1,0.0,0,1.0
00-0038551,K.Miller,NO,2023,9,RB,0,0,0.0,0,0.0,1,0.0,0,1,1,31.0,0,4.1
00-0038558,D.Washington,PIT,2023,9,TE,0,0,0.0,0,0.0,0,0.0,0,1,1,7.0,0,1.7
00-0038563,T.Tucker,LV,2023,9,WR,0,0,0.0,0,0.0,1,4.0,0,3,2,52.0,0,7.6
00-0038573,D.Davis,LAC,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,1,1,0.0,0,7.0
00-0038579,A.O'Connell,LV,2023,9,QB,16,25,209.0,0,0.0,0,0.0,0,0,0,0.0,0,8.36
00-0038582,C.Tune,ARI,2023,9,QB,11,20,58.0,0,2.0,5,28.0,0,0,0,0.0,0,-0.88
00-0038589,J.Whyle,TEN,2023,9,TE,0,0,0.0,0,0.0,0,0.0,0,1,0,0.0,0,0.0
00-0038598,J.Hall,MIN,2023,9,QB,5,6,78.0,0,0.0,2,11.0,0,0,0,0.0,0,4.22
00-0038618,X.Hutchinson,HOU,2023,9,WR,0,0,0.0,0,0.0,1,12.0,0,0,0,0.0,0,1.2
00-0038619,A.Iosivas,CIN,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,1,1,9.0,0,1.9
00-0038621,D.Douglas,NE,2023,9,WR,0,0,0.0,0,0.0,1,0.0,0,7,5,55.0,0,10.5
00-0038738,H.Luepke,DAL,2023,9,FB,0,0,0.0,0,0.0,0,0.0,0,1,0,0.0,0,0.0
00-0038797,E.Wilson,GB,2023,9,RB,0,0,0.0,0,0.0,4,43.0,0,0,0,0.0,0,4.3
00-0038933,D.Kincaid,BUF,2023,9,TE,0,0,0.0,0,0.0,0,0.0,0,11,10,81.0,0,16.1
00-0038938,J.Hyatt,NYG,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,5,2,19.0,0,3.9
00-0038941,T.Scott,CHI,2023,9,WR,0,0,0.0,0,0.0,1,-5.0,0,2,0,0.0,0,-0.5
00-0038977,T.Dell,HOU,2023,9,WR,0,0,0.0,0,0.0,2,2.0,0,11,6,114.0,2,29.6
00-0038979,C.Tillman,CLE,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,1,1,3.0,0,1.3
00-0038994,J.Addison,MIN,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,7,5,52.0,0,10.2
00-0038997,J.Downs,IND,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,1,1,10.0,0,2.0
00-0039021,R.Johnson,CHI,2023,9,RB,0,0,0.0,0,0.0,2,6.0,0,1,1,9.0,0,2.5
00-0039032,T.Spears,TEN,2023,9,RB,0,0,0.0,0,0.0,5,18.0,0,6,4,4.0,0,6.2
00-0039052,T.Palmer,TB,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,4,3,51.0,0,8.1
00-0039062,J.Mingo,CAR,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,4,1,5.0,0,1.5
00-0039064,Z.Flowers,BAL,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,1,1,11.0,0,2.1
00-0039066,M.Mayer,LV,2023,9,TE,0,0,0.0,0,0.0,0,0.0,0,2,2,11.0,0,3.1
00-0039067,R.Rice,KC,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,2,2,17.0,1,9.7
00-0039075,P.Nacua,LA,2023,9,WR,0,0,0.0,0,0.0,0,0.0,0,7,3,32.0,0,6.2
00-0039144,L.Musgrave,GB,2023,9,TE,0,0,0.0,0,0.0,0,0.0,0,4,3,51.0,1,14.1
00-0039146,J.Reed,GB,2023,9,WR,0,0,0.0,0,0.0,1,21.0,0,3,3,19.0,0,7.0
00-0039150,B.Young,CAR,2023,9,QB,24,39,173.0,1,3.0,5,41.0,0,0,0,0.0,0,9.02
00-0039152,W.Levis,TEN,2023,9,QB,22,39,262.0,0,1.0,1,2.0,0,0,0,0.0,0,8.68
00-0039163,C.Stroud,HOU,2023,9,QB,30,42,470.0,5,0.0,0,0.0,0,0,0,0.0,0,40.8
00-0039165,Z.Charbonnet,SEA,2023,9,RB,0,0,0.0,0,0.0,4,8.0,0,1,1,5.0,0,2.3
00-0029263,R.Wilson,DEN,2023,10,QB,24,29,193.0,2,0.0,9,30.0,0,0,0,0.0,0,18.72
00-0029892,K.Juszczyk,SF,2023,10,FB,0,0,0.0,0,0.0,0,0.0,0,3,2,26.0,1,10.6
00-0030035,A.Thielen,CAR,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,10,6,42.0,0,10.2
00-0030279,K.Allen,LAC,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,14,11,175.0,2,40.5
00-0030431,R.Woods,HOU,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,3,1,15.0,0,2.5
00-0030513,L.Murray,BUF,2023,10,RB,0,0,0.0,0,0.0,9,68.0,1,3,2,1.0,0,14.9
00-0030564,D.Hopkins,TEN,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,9,3,27.0,0,5.7
00-0030565,G.Smith,SEA,2023,10,QB,31,47,369.0,2,0.0,1,13.0,0,0,0,0.0,0,24.06
00-0030578,C.Patterson,ATL,2023,10,RB,0,0,0.0,0,0.0,3,13.0,0,2,2,7.0,0,4.0
00-0031235,O.Beckham,BAL,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,2,1,40.0,1,11.0
00-0031236,B.Cooks,DAL,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,10,9,173.0,1,32.3
00-0031260,L.Thomas,WAS,2023,10,TE,0,0,0.0,0,0.0,0,0.0,0,5,5,40.0,0,9.0
